department_management.head	department_management.management	department_management.department
assets_maintenance.Maintenance_Engineers	has	assets_maintenance.Maintenance_Engineers.first_name
assets_maintenance.Fault_Log	has	assets_maintenance.Fault_Log.fault_log_entry_datetime
assets_maintenance.Fault_Log	has	assets_maintenance.Fault_Log.asset_id
assets_maintenance.Fault_Log	has	assets_maintenance.Fault_Log.fault_log_entry_id
assets_maintenance.Fault_Log	has	assets_maintenance.Fault_Log.recorded_by_staff_id
assets_maintenance.Fault_Log	has	assets_maintenance.Fault_Log.fault_description
assets_maintenance.Engineer_Visits	has	assets_maintenance.Engineer_Visits.engineer_id
assets_maintenance.Engineer_Visits	has	assets_maintenance.Engineer_Visits.visit_start_datetime
assets_maintenance.Engineer_Visits	has	assets_maintenance.Engineer_Visits.visit_end_datetime
assets_maintenance.Engineer_Visits	has	assets_maintenance.Engineer_Visits.fault_status
assets_maintenance.Engineer_Visits	has	assets_maintenance.Engineer_Visits.engineer_visit_id
assets_maintenance.Engineer_Visits	has	assets_maintenance.Engineer_Visits.fault_log_entry_id
assets_maintenance.Engineer_Visits	has	assets_maintenance.Engineer_Visits.contact_staff_id
assets_maintenance.Part_Faults	has	assets_maintenance.Part_Faults.part_id
assets_maintenance.Part_Faults	has	assets_maintenance.Part_Faults.part_fault_id
assets_maintenance.Part_Faults	has	assets_maintenance.Part_Faults.fault_short_name
assets_maintenance.Part_Faults	has	assets_maintenance.Part_Faults.fault_description
assets_maintenance.Asset_Parts	has	assets_maintenance.Asset_Parts.part_id
assets_maintenance.Asset_Parts	has	assets_maintenance.Asset_Parts.asset_id
assets_maintenance.Engineer_Skills	has	assets_maintenance.Engineer_Skills.engineer_id
assets_maintenance.Engineer_Skills	has	assets_maintenance.Engineer_Skills.skill_id
assets_maintenance.Fault_Log_Parts	has	assets_maintenance.Fault_Log_Parts.fault_status
assets_maintenance.Fault_Log_Parts	has	assets_maintenance.Fault_Log_Parts.fault_log_entry_id
assets_maintenance.Fault_Log_Parts	has	assets_maintenance.Fault_Log_Parts.part_fault_id
assets_maintenance.Skills_Required_To_Fix	has	assets_maintenance.Skills_Required_To_Fix.skill_id
assets_maintenance.Skills_Required_To_Fix	has	assets_maintenance.Skills_Required_To_Fix.part_fault_id
twitter_1	has	*
twitter_1	has	twitter_1.tweets
twitter_1.tweets	has	*
twitter_1	has	twitter_1.user_profiles
twitter_1.user_profiles	has	*
twitter_1	has	twitter_1.follows
twitter_1.follows	has	*
twitter_1	has	twitter_1.tweets_HAS_twitter_1
twitter_1.tweets_HAS_twitter_1	has	*
twitter_1.tweets	has	twitter_1.tweets.id
twitter_1.tweets	has	twitter_1.tweets.createdate
twitter_1.tweets	has	twitter_1.tweets.text
twitter_1.tweets	has	twitter_1.tweets.uid
twitter_1.user_profiles	has	twitter_1.user_profiles.name
twitter_1.user_profiles	has	twitter_1.user_profiles.email
twitter_1.user_profiles	has	twitter_1.user_profiles.partitionid
twitter_1.user_profiles	has	twitter_1.user_profiles.uid
twitter_1.user_profiles	has	twitter_1.user_profiles.followers
twitter_1.follows	has	twitter_1.follows.f2
twitter_1.follows	has	twitter_1.follows.f1
local_govt_and_lot	has	*
local_govt_and_lot	has	local_govt_and_lot.Customers
local_govt_and_lot.Customers	has	*
local_govt_and_lot	has	local_govt_and_lot.Properties
local_govt_and_lot.Properties	has	*
local_govt_and_lot	has	local_govt_and_lot.Residents
local_govt_and_lot.Residents	has	*
local_govt_and_lot	has	local_govt_and_lot.Organizations
local_govt_and_lot.Organizations	has	*
local_govt_and_lot	has	local_govt_and_lot.Services
local_govt_and_lot.Services	has	*
local_govt_and_lot	has	local_govt_and_lot.Things
local_govt_and_lot.Things	has	*
local_govt_and_lot	has	local_govt_and_lot.Customer_Events
local_govt_and_lot.Customer_Events	has	*
local_govt_and_lot	has	local_govt_and_lot.Customer_Event_Notes
local_govt_and_lot.Customer_Event_Notes	has	*
local_govt_and_lot	has	local_govt_and_lot.Timed_Status_of_Things
local_govt_and_lot.Timed_Status_of_Things	has	*
local_govt_and_lot	has	local_govt_and_lot.Timed_Locations_of_Things
local_govt_and_lot.Timed_Locations_of_Things	has	*
local_govt_and_lot	has	local_govt_and_lot.Residents_Services
local_govt_and_lot.Residents_Services	has	*
local_govt_and_lot	has	local_govt_and_lot.residents_HAS_local_govt_and_lot
local_govt_and_lot.residents_HAS_local_govt_and_lot	has	*
local_govt_and_lot	has	local_govt_and_lot.services_HAS_local_govt_and_lot
local_govt_and_lot.services_HAS_local_govt_and_lot	has	*
local_govt_and_lot	has	local_govt_and_lot.things_HAS_local_govt_and_lot
local_govt_and_lot.things_HAS_local_govt_and_lot	has	*
local_govt_and_lot	has	local_govt_and_lot.customer_events_HAS_local_govt_and_lot
local_govt_and_lot.customer_events_HAS_local_govt_and_lot	has	*
local_govt_and_lot	has	local_govt_and_lot.customer_event_notes_HAS_local_govt_and_lot
local_govt_and_lot.customer_event_notes_HAS_local_govt_and_lot	has	*
local_govt_and_lot	has	local_govt_and_lot.timed_status_of_things_HAS_local_govt_and_lot
local_govt_and_lot.timed_status_of_things_HAS_local_govt_and_lot	has	*
local_govt_and_lot	has	local_govt_and_lot.timed_locations_of_things_HAS_local_govt_and_lot
local_govt_and_lot.timed_locations_of_things_HAS_local_govt_and_lot	has	*
local_govt_and_lot.Customers	has	local_govt_and_lot.Customers.customer_id
local_govt_and_lot.Customers	has	local_govt_and_lot.Customers.customer_details
local_govt_and_lot.Properties	has	local_govt_and_lot.Properties.property_address
local_govt_and_lot.Properties	has	local_govt_and_lot.Properties.property_id
local_govt_and_lot.Properties	has	local_govt_and_lot.Properties.other_details
local_govt_and_lot.Properties	has	local_govt_and_lot.Properties.property_type_code
local_govt_and_lot.Residents	has	local_govt_and_lot.Residents.property_id
local_govt_and_lot.Residents	has	local_govt_and_lot.Residents.resident_id
local_govt_and_lot.Residents	has	local_govt_and_lot.Residents.date_moved_out
local_govt_and_lot.Residents	has	local_govt_and_lot.Residents.other_details
local_govt_and_lot.Residents	has	local_govt_and_lot.Residents.date_moved_in
local_govt_and_lot.Organizations	has	local_govt_and_lot.Organizations.parent_organization_id
local_govt_and_lot.Organizations	has	local_govt_and_lot.Organizations.organization_id
local_govt_and_lot.Organizations	has	local_govt_and_lot.Organizations.organization_details
local_govt_and_lot.Services	has	local_govt_and_lot.Services.service_id
local_govt_and_lot.Services	has	local_govt_and_lot.Services.organization_id
local_govt_and_lot.Services	has	local_govt_and_lot.Services.service_details
local_govt_and_lot.Services	has	local_govt_and_lot.Services.service_type_code
local_govt_and_lot.Things	has	local_govt_and_lot.Things.Type_of_Thing_Code
local_govt_and_lot.Things	has	local_govt_and_lot.Things.organization_id
local_govt_and_lot.Things	has	local_govt_and_lot.Things.service_details
local_govt_and_lot.Things	has	local_govt_and_lot.Things.thing_id
local_govt_and_lot.Things	has	local_govt_and_lot.Things.service_type_code
local_govt_and_lot.Customer_Events	has	local_govt_and_lot.Customer_Events.property_id
local_govt_and_lot.Customer_Events	has	local_govt_and_lot.Customer_Events.resident_id
local_govt_and_lot.Customer_Events	has	local_govt_and_lot.Customer_Events.thing_id
local_govt_and_lot.Customer_Events	has	local_govt_and_lot.Customer_Events.customer_id
local_govt_and_lot.Customer_Events	has	local_govt_and_lot.Customer_Events.Customer_Event_ID
local_govt_and_lot.Customer_Events	has	local_govt_and_lot.Customer_Events.date_moved_in
local_govt_and_lot.Customer_Event_Notes	has	local_govt_and_lot.Customer_Event_Notes.property_id
local_govt_and_lot.Customer_Event_Notes	has	local_govt_and_lot.Customer_Event_Notes.resident_id
local_govt_and_lot.Customer_Event_Notes	has	local_govt_and_lot.Customer_Event_Notes.Customer_Event_Note_ID
local_govt_and_lot.Customer_Event_Notes	has	local_govt_and_lot.Customer_Event_Notes.Customer_Event_ID
local_govt_and_lot.Customer_Event_Notes	has	local_govt_and_lot.Customer_Event_Notes.service_type_code
local_govt_and_lot.Customer_Event_Notes	has	local_govt_and_lot.Customer_Event_Notes.date_moved_in
local_govt_and_lot.Timed_Status_of_Things	has	local_govt_and_lot.Timed_Status_of_Things.thing_id
local_govt_and_lot.Timed_Status_of_Things	has	local_govt_and_lot.Timed_Status_of_Things.Status_of_Thing_Code
local_govt_and_lot.Timed_Status_of_Things	has	local_govt_and_lot.Timed_Status_of_Things.Date_and_Date
local_govt_and_lot.Timed_Locations_of_Things	has	local_govt_and_lot.Timed_Locations_of_Things.thing_id
local_govt_and_lot.Timed_Locations_of_Things	has	local_govt_and_lot.Timed_Locations_of_Things.Date_and_Time
local_govt_and_lot.Timed_Locations_of_Things	has	local_govt_and_lot.Timed_Locations_of_Things.Location_Code
local_govt_and_lot.Residents_Services	has	local_govt_and_lot.Residents_Services.property_id
local_govt_and_lot.Residents_Services	has	local_govt_and_lot.Residents_Services.service_id
local_govt_and_lot.Residents_Services	has	local_govt_and_lot.Residents_Services.resident_id
local_govt_and_lot.Residents_Services	has	local_govt_and_lot.Residents_Services.date_requested
local_govt_and_lot.Residents_Services	has	local_govt_and_lot.Residents_Services.other_details
local_govt_and_lot.Residents_Services	has	local_govt_and_lot.Residents_Services.date_provided
local_govt_and_lot.Residents_Services	has	local_govt_and_lot.Residents_Services.date_moved_in
customers_card_transactions	has	*
customers_card_transactions	has	customers_card_transactions.Accounts
customers_card_transactions.Accounts	has	*
customers_card_transactions	has	customers_card_transactions.Customers
customers_card_transactions.Customers	has	*
customers_card_transactions	has	customers_card_transactions.Customers_Cards
customers_card_transactions.Customers_Cards	has	*
customers_card_transactions	has	customers_card_transactions.Financial_Transactions
customers_card_transactions.Financial_Transactions	has	*
customers_card_transactions.Accounts	has	customers_card_transactions.Accounts.account_id
customers_card_transactions.Accounts	has	customers_card_transactions.Accounts.customer_id
customers_card_transactions.Accounts	has	customers_card_transactions.Accounts.other_account_details
customers_card_transactions.Accounts	has	customers_card_transactions.Accounts.account_name
customers_card_transactions.Customers	has	customers_card_transactions.Customers.customer_phone
customers_card_transactions.Customers	has	customers_card_transactions.Customers.customer_address
customers_card_transactions.Customers	has	customers_card_transactions.Customers.customer_last_name
customers_card_transactions.Customers	has	customers_card_transactions.Customers.customer_id
customers_card_transactions.Customers	has	customers_card_transactions.Customers.customer_first_name
customers_card_transactions.Customers	has	customers_card_transactions.Customers.customer_email
customers_card_transactions.Customers_Cards	has	customers_card_transactions.Customers_Cards.other_card_details
customers_card_transactions.Customers_Cards	has	customers_card_transactions.Customers_Cards.card_type_code
customers_card_transactions.Customers_Cards	has	customers_card_transactions.Customers_Cards.card_number
customers_card_transactions.Customers_Cards	has	customers_card_transactions.Customers_Cards.date_valid_to
customers_card_transactions.Customers_Cards	has	customers_card_transactions.Customers_Cards.customer_id
customers_card_transactions.Customers_Cards	has	customers_card_transactions.Customers_Cards.card_id
customers_card_transactions.Customers_Cards	has	customers_card_transactions.Customers_Cards.date_valid_from
customers_card_transactions.Financial_Transactions	has	customers_card_transactions.Financial_Transactions.transaction_amount
customers_card_transactions.Financial_Transactions	has	customers_card_transactions.Financial_Transactions.previous_transaction_id
customers_card_transactions.Financial_Transactions	has	customers_card_transactions.Financial_Transactions.account_id
customers_card_transactions.Financial_Transactions	has	customers_card_transactions.Financial_Transactions.transaction_type
customers_card_transactions.Financial_Transactions	has	customers_card_transactions.Financial_Transactions.transaction_id
customers_card_transactions.Financial_Transactions	has	customers_card_transactions.Financial_Transactions.transaction_date
customers_card_transactions.Financial_Transactions	has	customers_card_transactions.Financial_Transactions.card_id
concert_singer	has	*
concert_singer	has	concert_singer.stadium
concert_singer.stadium	has	*
concert_singer	has	concert_singer.singer
concert_singer.singer	has	*
concert_singer	has	concert_singer.concert
concert_singer.concert	has	*
concert_singer	has	concert_singer.singer_in_concert
concert_singer.singer_in_concert	has	*
concert_singer	has	concert_singer.concert_HAS_concert_singer
concert_singer.concert_HAS_concert_singer	has	*
concert_singer.stadium	has	concert_singer.stadium.Name
concert_singer.stadium	has	concert_singer.stadium.Lowest
concert_singer.stadium	has	concert_singer.stadium.Stadium_ID
concert_singer.stadium	has	concert_singer.stadium.Capacity
concert_singer.stadium	has	concert_singer.stadium.Highest
concert_singer.stadium	has	concert_singer.stadium.Location
concert_singer.stadium	has	concert_singer.stadium.Average
concert_singer.singer	has	concert_singer.singer.Country
concert_singer.singer	has	concert_singer.singer.Age
concert_singer.singer	has	concert_singer.singer.Name
concert_singer.singer	has	concert_singer.singer.Song_Name
concert_singer.singer	has	concert_singer.singer.Is_male
concert_singer.singer	has	concert_singer.singer.Singer_ID
concert_singer.singer	has	concert_singer.singer.Song_release_year
concert_singer.concert	has	concert_singer.concert.Year
concert_singer.concert	has	concert_singer.concert.Theme
concert_singer.concert	has	concert_singer.concert.Stadium_ID
concert_singer.concert	has	concert_singer.concert.concert_Name
concert_singer.concert	has	concert_singer.concert.concert_ID
concert_singer.singer_in_concert	has	concert_singer.singer_in_concert.concert_ID
concert_singer.singer_in_concert	has	concert_singer.singer_in_concert.Singer_ID
student_transcripts_tracking	has	*
student_transcripts_tracking	has	student_transcripts_tracking.Addresses
student_transcripts_tracking.Addresses	has	*
student_transcripts_tracking	has	student_transcripts_tracking.Courses
student_transcripts_tracking.Courses	has	*
student_transcripts_tracking	has	student_transcripts_tracking.Departments
student_transcripts_tracking.Departments	has	*
student_transcripts_tracking	has	student_transcripts_tracking.Degree_Programs
student_transcripts_tracking.Degree_Programs	has	*
student_transcripts_tracking	has	student_transcripts_tracking.Sections
student_transcripts_tracking.Sections	has	*
student_transcripts_tracking	has	student_transcripts_tracking.Semesters
student_transcripts_tracking.Semesters	has	*
student_transcripts_tracking	has	student_transcripts_tracking.Students
